date,confirmed cases,active cases,deaths,recoveries
3/11/2020,20,18,1,2
3/12/2020,21,19,1,2
3/13/2020,28,25,1,3
3/14/2020,31,28,1,3
3/15/2020,53,50,1,3
3/16/2020,187,183,1,4
3/17/2020,238,234,1,4
3/18/2020,302,295,2,5
3/19/2020,457,450,2,5
3/20/2020,534,526,3,5
3/21/2020,646,638,3,5
3/22/2020,803,791,6,6
3/23/2020,892,880,6,6
3/24/2020,1000,974,7,19
3/25/2020,1102,1073,8,21
3/26/2020,1235,1203,9,23
3/27/2020,1405,1369,11,25
3/28/2020,1526,1485,13,28
3/29/2020,1625,1575,18,32
3/30/2020,1861,1778,25,58
3/31/2020,2039,1931,26,82
4/1/2020,2289,2151,31,107
4/2/2020,2450,2289,35,126
4/3/2020,2708,2538,40,130
4/4/2020,2280,2665,45,170
4/5/2020,3287,2980,50,257
4/6/2020,3864,3381,54,429
4/7/2020,4074,3549,58,467
4/8/2020,4317,3682,63,572
4/9/2020,4598,3805,66,727
4/10/2020,4784,3951,71,762
4/11/2020,5038,3926,86,1026
4/12/2020,5374,4186,93,1095
4/13/2020,5716,4242,96,1378
4/14/2020,5985,4432,107,1446
4/15/2020,6528,4759,124,1645
4/16/2020,7016,5116,135,1765
4/17/2020,7479,5504,143,1832
4/18/2020,7993,5966,159,1868
4/19/2020,8420,6274,176,1970
4/20/2020,9216,6958,192,2066
4/21/2020,9771,7406,209,2156
4/22/2020,10513,7952,224,2337
4/23/2020,11155,8391,237,2527
4/24/2020,11940,8932,253,2755
4/25/2020,12723,9588,269,2866
4/26/2020,13328,10018,281,3029
4/27/2020,14079,10545,301,3233
4/28/2020,14885,11133,327,3425
4/29/2020,15827,11414,361,4052
4/30/2020,16817,12117,385,4315
5/1/2020,18114,12982,417,4715
5/2/2020,19103,13846,440,4817
5/3/2020,20186,14134,462,5590
5/4/2020,21501,15233,486,5782
5/5/2020,22550,15807,526,6217
5/6/2020,24073,17045,564,6464
5/7/2020,25837,17713,594,7530
5/8/2020,27474,19100,618,7756
5/9/2020,29465,20803,639,8023
5/10/2020,30941,22061,668,8212
5/11/2020,32081,22820,706,8555
5/12/2020,34336,24787,737,8812
5/13/2020,35788,25323,770,9695
5/14/2020,37218,26260,803,10155
5/15/2020,38799,27085,834,10880
5/16/2020,40151,27937,873,11341
5/17/2020,42125,29300,903,11922
5/18/2020,43966,30538,939,12489
5/19/2020,45898,31812,985,13101
5/20/2020,48091,32919,1017,14155
5/21/2020,50694,34426,1067,15201
5/22/2020,52437,34683,1101,16653
5/23/2020,54601,36270,1133,17198
5/24/2020,56349,37700,1167,17482
5/25/2020,57705,38194,1197,18314
5/26/2020,59151,38784,1225,19142
5/27/2020,61392,39901,1260,20231
5/28/2020,64028,40406,1317,22305
5/29/2020,66457,40931,1395,24131
5/30/2020,69496,42742,1483,25271
5/31/2020,72460,44834,1543,26083
6/1/2020,76332,47601,1621,27110
6/2/2020,80576,49965,1688,28923
6/3/2020,84353,52455,1770,30128
6/4/2020,89249,56213,1838,31198
6/5/2020,93983,59467,1935,32581
6/6/2020,98943,63476,2002,33465
6/7/2020,103671,67249,2067,34355
6/8/2020,108317,71127,2172,35018
6/9/2020,113702,75139,2255,36308
6/10/2020,119536,78789,2356,38391
6/11/2020,125933,83223,2463,40247
6/12/2020,132405,79798,2551,50056
